Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C9",0402,2,1.5pF,C1552
"C11, C12",0402,2,10uf,
"C13, C2, C3, C4, C5",0402,5,0.1uF ceramic,C1525
C14,1210,1,220uf,C400951
C6,0402,1,1uF,C52923
"C7, C8",0402,2,15pF,C1548
J2,PinHeader_1x03_P2.54mm_Vertical,1,LED Socket,
JP2,RF-SMD_FRF05002-JSS103M,1,U.FL-R-SMT-1,C88374
L1,0402,1,L,C27122
"R1, R2, R3",0402,3,10k,C25744
"R4, R8, R9",0402,3,33Ohm,C25105
"R5, R6",0402,2,5.1k,C25905
U1,QFN50P500X500X90-33N,1,ESP32-C3FH4,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,DBV5,1,SN74AHCT1G125DBVR,
U4,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,XRCGB40M000F1S1DR0,C1870453
U5,SOT-23-6,1,SRV05-4,C7420376
USBC1,USB-C-SMD_C67380,1,FUC-24F11-SNLB1,C67380
