Designator,Mid X,Mid Y,Rotation,Layer
C10,116.15,-65.75,0.0,top
C11,115.5,-58.5,90.0,top
C12,116.9,-52.825,180.0,top
C13,119.625,-79.475,0.0,top
C14,116.925,-77.6,90.0,top
C2,119.2,-64.95,270.0,top
C3,123.225,-73.525,270.0,top
C4,119.95,-74.25,90.0,top
C5,120.2,-65.7,270.0,top
C6,118.0,-74.25,90.0,top
C7,120.8,-61.75,180.0,top
C8,120.8,-63.0,0.0,top
C9,115.7,-69.0,270.0,top
J2,120.0,-81.75,90.0,top
JP2,116.555,-63.2,270.0,top
L1,115.7,-67.15,270.0,top
R1,118.975,-74.25,90.0,top
R2,117.025,-74.275,90.0,top
R3,121.525,-73.825,180.0,top
R4,121.65,-79.475,180.0,top
R5,124.0,-51.0,90.0,top
R6,116.0,-51.0,90.0,top
R8,117.8,-50.8,90.0,top
R9,122.175,-50.85,90.0,top
U1,119.575,-70.2,0.0,top
U2,120.5,-57.3,180.0,top
U3,122.345303,-76.721751,270.0,top
U4,123.55,-62.4,0.0,top
U5,120.0,-51.5,90.0,top
USBC1,120.0,-44.795,180.0,top
